date,type,elapsed_time,distance
11-05-16 15:38,Ride,3385,19070.3
12-05-16 11:18,Ride,501,2222.9
12-05-16 12:49,Ride,371,2209.6
17-05-16 11:20,Ride,418,1956.6
17-05-16 13:51,Ride,325,1961.5
18-05-16 05:38,Ride,583,2591.2
18-05-16 08:18,Ride,422,2433.2
19-05-16 05:39,Ride,533,2178.8
19-05-16 08:24,Ride,328,1943.6
20-05-16 07:35,Ride,677,2572.8
20-05-16 11:51,Ride,415,2465.1
21-05-16 16:14,Ride,977,1960.2
23-05-16 16:07,Ride,3842,2808.5
25-05-16 07:04,Ride,985,4615.7
25-05-16 16:48,Ride,1305,8137.1
25-05-16 20:11,Ride,1875,7845.2
26-05-16 07:42,Ride,5669,34606.9
26-05-16 16:12,Ride,1138,6531.3
27-05-16 16:00,Ride,7466,38989.4
28-05-16 07:31,Ride,8910,34660.7
29-05-16 08:13,Ride,11758,61374
30-05-16 16:41,Ride,2190,10515.1
30-05-16 19:05,Ride,2889,5784.6
01-06-16 08:40,Ride,8423,41278.6
01-06-16 16:10,Ride,1147,5487.3
01-06-16 17:42,Ride,973,5395.1
01-06-16 18:17,Run,772,2014.6
13-06-16 09:36,Ride,1439,5080.7
13-06-16 13:54,Ride,3863,10674.3
13-06-16 19:34,Ride,656,1661.2
14-06-16 13:16,Ride,382,742.1
15-06-16 06:58,Ride,32727,81263.6
16-06-16 07:14,Ride,48538,116094
17-06-16 07:00,Ride,39374,115558
18-06-16 07:17,Ride,33871,117192
19-06-16 07:19,Ride,33792,116114
20-06-16 07:59,Ride,17836,22720.1
21-06-16 06:55,Ride,24382,79189
22-06-16 06:37,Ride,34146,85259.3
23-06-16 06:24,Ride,36119,96084.2
24-06-16 06:52,Ride,26424,81956.1
24-06-16 16:38,Ride,10103,5706.8
25-06-16 06:55,Ride,28557,75922.8
25-06-16 15:55,Ride,550,1655.5
06-07-16 14:06,Ride,3571,11167.8
16-07-16 18:01,Ride,955,6156
21-07-16 07:44,Ride,5925,9535.8
03-08-16 07:14,Ride,1612,5987.5
19-08-16 07:42,Hike,20560,15964.8
21-09-16 13:22,Ride,331,1869.4
15-10-16 10:07,Ride,432,2480.2
28-10-16 07:38,Ride,1580,4738.4
28-10-16 08:32,Ride,1186,4673.3
04-02-17 06:48,Run,1145,2703.7
16-03-17 07:29,Run,1481,3741.1
05-04-17 12:25,Ride,10538,44204.6
11-04-17 16:22,Ride,3475,20604.7
12-04-17 14:46,Ride,1270,4757.5
12-04-17 15:53,Ride,1273,5224.8
13-04-17 15:22,Ride,8983,41846.1
14-04-17 14:59,Ride,9053,49866
26-04-17 15:12,Run,932,2311.2
06-05-17 14:19,Run,1117,3227
25-05-17 07:27,Ride,5586,9444.2
26-05-17 16:34,Ride,3024,17170.5
03-06-17 06:33,Run,611,1974.2
08-06-17 05:30,Walk,2423,3883.8
14-06-17 04:51,Run,612,1503.8
17-06-17 18:28,Ride,4381,25321.5
18-06-17 18:53,Ride,5459,31754.1
24-06-17 20:57,Walk,2725,4149.8
25-06-17 18:46,Ride,1588,8275.9
26-06-17 19:17,Ride,4064,25000.3
04-07-17 17:59,Ride,7235,38462
15-07-17 06:48,Hike,16523,15801.5
22-07-17 20:31,Walk,3847,4408.7
31-07-17 18:28,Run,1095,2436.2
01-08-17 16:16,Ride,1948,3569.4
27-08-17 11:20,Run,1593,4755.3
28-08-17 14:13,Ride,4202,9218.6
03-09-17 15:30,Run,2583,5839.5
04-09-17 17:19,Run,726,1899.4
08-09-17 16:58,Run,1571,4107.9
10-09-17 17:14,Run,1211,3115
19-09-17 19:23,Run,826,2528.8
24-09-17 08:06,Hike,17166,10233.4
07-10-17 07:53,Hike,27532,13165.3
08-10-17 14:49,Walk,4330,7132.5
14-10-17 12:59,Hike,15281,15142
15-10-17 09:08,Hike,21111,26781.5
01-11-17 14:49,Run,898,3281.6
13-12-17 17:05,Run,773,2347.2
14-12-17 17:55,Run,834,2484.3
15-12-17 18:32,Run,911,3033.4
16-12-17 17:17,Run,1204,3688.3
17-12-17 14:53,Run,1009,3110.5
20-12-17 12:18,Run,1221,3691.6
22-12-17 16:55,Run,4586,5951.1
23-12-17 18:29,Run,1252,3958.1
30-12-17 17:06,Run,1467,4097.5
31-12-17 09:11,Run,799,2447.7
31-12-17 18:08,Run,1859,5505.2
04-01-18 19:48,Run,1184,3673.4
06-01-18 16:30,Run,1265,3990.7
07-01-18 15:24,Run,4514,10506.4
08-01-18 23:14,Run,1383,4503.5
12-01-18 17:58,Run,1521,4464
13-01-18 14:12,Run,756,2698.7
13-01-18 15:33,Run,1913,5827.9
14-01-18 11:05,Run,1864,5371
15-01-18 16:13,Run,933,3198.6
16-01-18 16:03,Run,1143,3585.8
21-01-18 08:07,Snowboard,10049,3848.4
21-01-18 13:40,Snowboard,4324,7064
22-01-18 13:16,Snowboard,3215,5498.5
23-01-18 09:01,Snowboard,22838,21415.2
24-01-18 10:26,Snowboard,17884,36784.4
28-01-18 07:16,Run,525,1509.1
31-01-18 18:35,Run,1150,3532.2
01-02-18 22:11,Run,1086,3558.6
03-02-18 08:58,Run,1111,4337.4
04-02-18 17:05,Run,1440,4200.3
13-02-18 04:20,Run,1240,3824.7
18-02-18 07:56,Run,812,2625.6
28-02-18 17:26,Run,2762,7252.2
13-03-18 18:09,Run,1332,4155.7
18-03-18 16:57,Run,561,2038.5
30-03-18 14:09,Run,1474,4612.6
31-03-18 23:48,Run,990,3339.9
01-04-18 19:38,Run,775,2608.5
03-04-18 16:31,Run,999,4396.7
06-04-18 14:15,Run,798,2819.6
10-04-18 16:29,Run,1386,3954.8
14-04-18 14:08,Run,2043,6047
17-04-18 11:10,Run,695,2407.7
26-04-18 08:57,Run,1234,3519.3
27-04-18 15:22,Run,1435,4619.2
28-04-18 08:37,Run,1364,4218.3
29-04-18 16:10,Run,1901,5750.3
11-05-18 15:59,Run,1061,3322.5
14-05-18 19:08,Run,823,2584.3
21-05-18 17:47,Run,926,2925.1
23-05-18 02:21,Run,885,2765.7
23-05-18 18:16,Run,1382,4382
27-05-18 10:20,Run,1452,4067
02-06-18 15:14,Run,3461,10293.5
03-06-18 14:13,Run,2440,7329.7
04-06-18 14:21,Run,1510,4642.6
05-06-18 11:24,Run,2119,6180.4
06-06-18 19:29,Run,1161,3853.6
08-06-18 17:41,Run,1553,4792.9
09-06-18 09:02,Run,1042,3658.2
10-06-18 09:15,Run,1903,6153.4
12-06-18 07:26,Ride,2158,6572.4
13-06-18 19:28,Run,1039,4783.7
15-06-18 18:40,Run,2135,7937.8
16-06-18 16:54,Run,2454,7196.1
17-06-18 07:13,Run,995,3056.6
18-06-18 12:11,Run,3680,6789.5
20-06-18 18:32,Run,3282,9453
22-06-18 07:35,Run,1414,2576.5
22-06-18 18:32,Run,4311,12193.2
23-06-18 19:17,Run,2431,7220.4
24-06-18 06:24,Run,4028,6356.9
02-07-18 09:17,Run,1077,3401.6
03-07-18 19:00,Run,2709,7650.8
04-07-18 17:51,Run,3076,8633.8
05-07-18 18:15,Run,1406,4187.4
08-07-18 04:59,Run,1915,5571
11-07-18 17:18,Run,1865,5011.9
12-07-18 18:35,Run,1020,3600
13-07-18 18:26,Ride,4289,26331.7
14-07-18 11:48,Run,613,2070.7
17-07-18 17:54,Run,2812,7047.8
